"state","countyID","prenum","party","pvoteper","svoteper"
"MN",1,5,"R",55.98,60.87
"MN",1,5,"DFL",36.31,39.02
"MN",1,15,"R",58.54,51.88
"MN",1,15,"DFL",34.76,48.13
"MN",1,25,"R",43.24,39.39
"MN",1,25,"DFL",51.35,60.61
"MN",1,35,"R",50,47.62
"MN",1,35,"DFL",40.91,52.38
"MN",1,40,"R",58.94,63.11
"MN",1,40,"DFL",36.43,36.89
"MN",1,50,"R",57.43,59.86
"MN",1,50,"DFL",34.65,40.14
"MN",1,60,"R",60.59,61.87
"MN",1,60,"DFL",34.81,38.13
"MN",1,70,"R",58.6,52.97
"MN",1,70,"DFL",36.28,47.03
"MN",1,80,"R",69.54,67.28
"MN",1,80,"DFL",24.71,32.1
"MN",1,85,"R",57.72,59.02
"MN",1,85,"DFL",35.77,40.98
"MN",1,95,"R",73.33,65.52
"MN",1,95,"DFL",23.33,34.48
"MN",1,105,"R",35.29,44.44
"MN",1,105,"DFL",47.06,55.56
"MN",1,115,"R",61.54,66.67
"MN",1,115,"DFL",15.38,33.33
"MN",1,125,"R",75,81.63
"MN",1,125,"DFL",20.83,18.37
"MN",1,132,"R",44.44,53.85
"MN",1,132,"DFL",48.15,46.15
"MN",1,140,"R",64.58,62.92
"MN",1,140,"DFL",26.04,37.08
"MN",1,150,"R",50,60.56
"MN",1,150,"DFL",38.75,39.44
"MN",1,160,"R",64.2,64.94
"MN",1,160,"DFL",24.69,35.06
"MN",1,170,"R",79.49,88.57
"MN",1,170,"DFL",10.26,11.43
"MN",1,180,"R",49.06,49.49
"MN",1,180,"DFL",40.57,50.51
"MN",1,190,"R",43.33,43.33
"MN",1,190,"DFL",53.33,56.67
"MN",1,200,"R",62.07,59.26
"MN",1,200,"DFL",31.03,40.74
"MN",1,210,"R",63.96,62.63
"MN",1,210,"DFL",32.99,37.37
"MN",1,220,"R",55,65
"MN",1,220,"DFL",25,35
"MN",1,230,"R",63.33,60.53
"MN",1,230,"DFL",30.83,39.47
"MN",1,255,"R",52.94,40
"MN",1,255,"DFL",47.06,60
"MN",1,285,"R",61.76,41.94
"MN",1,285,"DFL",35.29,58.06
"MN",2,5,"R",64.46,73.98
"MN",2,5,"DFL",28.28,25.81
"MN",2,15,"R",54.74,67.46
"MN",2,15,"DFL",34.91,32.39
"MN",2,25,"R",57.39,70.31
"MN",2,25,"DFL",34.87,29.55
"MN",2,35,"R",57.27,70.29
"MN",2,35,"DFL",33,29.57
"MN",2,45,"R",55.09,69.47
"MN",2,45,"DFL",35.6,30.47
"MN",2,105,"R",41.04,60.64
"MN",2,105,"DFL",47.41,38.5
"MN",2,115,"R",53.54,67.81
"MN",2,115,"DFL",37.78,32.19
"MN",2,125,"R",47.07,64.53
"MN",2,125,"DFL",40.72,34.97
"MN",2,135,"R",50.68,65.6
"MN",2,135,"DFL",39.33,34.31
"MN",2,205,"R",69.47,71.19
"MN",2,205,"DFL",19.08,28.39
"MN",2,310,"R",43.08,43.6
"MN",2,310,"DFL",48.43,56.11
"MN",2,320,"R",49.94,49.32
"MN",2,320,"DFL",39.65,50.43
"MN",2,330,"R",49.63,57.19
"MN",2,330,"DFL",40.28,42.62
"MN",2,340,"R",50.73,58.01
"MN",2,340,"DFL",38.17,41.62
"MN",2,410,"R",44.39,45.25
"MN",2,410,"DFL",47.26,54.66
"MN",2,420,"R",42.01,38.27
"MN",2,420,"DFL",48.98,61.64
"MN",2,430,"R",47.98,55.87
"MN",2,430,"DFL",44.63,43.97
"MN",2,440,"R",51.89,61.5
"MN",2,440,"DFL",39.78,38.46
"MN",2,510,"R",49.75,48.77
